sample,fastq_1,fastq_2
101,../fastq/101_C7JRYANXX_GTCCGC_L007_R1.fastq.gz,../fastq/101_C7JRYANXX_GTCCGC_L007_R2.fastq.gz
101,../fastq/101_C80GMANXX_GTCCGC_L007_R1.fastq.gz,../fastq/101_C80GMANXX_GTCCGC_L007_R2.fastq.gz
102,../fastq/102_C7JRYANXX_GTGAAA_L007_R1.fastq.gz,../fastq/102_C7JRYANXX_GTGAAA_L007_R2.fastq.gz
102,../fastq/102_C80GMANXX_GTGAAA_L007_R1.fastq.gz,../fastq/102_C80GMANXX_GTGAAA_L007_R2.fastq.gz
105,../fastq/105_C7JRYANXX_GTGGCC_L007_R1.fastq.gz,../fastq/105_C7JRYANXX_GTGGCC_L007_R2.fastq.gz
105,../fastq/105_C80GMANXX_GTGGCC_L007_R1.fastq.gz,../fastq/105_C80GMANXX_GTGGCC_L007_R2.fastq.gz
106,../fastq/106_C7JRYANXX_GTTTCG_L007_R1.fastq.gz,../fastq/106_C7JRYANXX_GTTTCG_L007_R2.fastq.gz
106,../fastq/106_C80GMANXX_GTTTCG_L007_R1.fastq.gz,../fastq/106_C80GMANXX_GTTTCG_L007_R2.fastq.gz
110,../fastq/110_C7JRYANXX_CGTACG_L007_R1.fastq.gz,../fastq/110_C7JRYANXX_CGTACG_L007_R2.fastq.gz
110,../fastq/110_C80GMANXX_CGTACG_L007_R1.fastq.gz,../fastq/110_C80GMANXX_CGTACG_L007_R2.fastq.gz
111,../fastq/111_C7JRYANXX_GGCTAC_L002_R1.fastq.gz,../fastq/111_C7JRYANXX_GGCTAC_L002_R2.fastq.gz
111,../fastq/111_C80GMANXX_GGCTAC_L002_R1.fastq.gz,../fastq/111_C80GMANXX_GGCTAC_L002_R2.fastq.gz
112,../fastq/112_C7JRYANXX_CTTGTA_L002_R1.fastq.gz,../fastq/112_C7JRYANXX_CTTGTA_L002_R2.fastq.gz
112,../fastq/112_C80GMANXX_CTTGTA_L002_R1.fastq.gz,../fastq/112_C80GMANXX_CTTGTA_L002_R2.fastq.gz
113,../fastq/113_C7JRYANXX_AGTCAA_L002_R1.fastq.gz,../fastq/113_C7JRYANXX_AGTCAA_L002_R2.fastq.gz
113,../fastq/113_C80GMANXX_AGTCAA_L002_R1.fastq.gz,../fastq/113_C80GMANXX_AGTCAA_L002_R2.fastq.gz
114,../fastq/114_C7JRYANXX_AGTTCC_L003_R1.fastq.gz,../fastq/114_C7JRYANXX_AGTTCC_L003_R2.fastq.gz
114,../fastq/114_C80GMANXX_AGTTCC_L003_R1.fastq.gz,../fastq/114_C80GMANXX_AGTTCC_L003_R2.fastq.gz
120,../fastq/120_C7JRYANXX_ATGTCA_L003_R1.fastq.gz,../fastq/120_C7JRYANXX_ATGTCA_L003_R2.fastq.gz
120,../fastq/120_C80GMANXX_ATGTCA_L003_R1.fastq.gz,../fastq/120_C80GMANXX_ATGTCA_L003_R2.fastq.gz
123,../fastq/123_C7JRYANXX_GAGTGG_L007_R1.fastq.gz,../fastq/123_C7JRYANXX_GAGTGG_L007_R2.fastq.gz
123,../fastq/123_C80GMANXX_GAGTGG_L007_R1.fastq.gz,../fastq/123_C80GMANXX_GAGTGG_L007_R2.fastq.gz
131,../fastq/131_C7JRYANXX_ACTGAT_L007_R1.fastq.gz,../fastq/131_C7JRYANXX_ACTGAT_L007_R2.fastq.gz
131,../fastq/131_C80GMANXX_ACTGAT_L007_R1.fastq.gz,../fastq/131_C80GMANXX_ACTGAT_L007_R2.fastq.gz
132,../fastq/132_C7JRYANXX_ATTCCT_L007_R1.fastq.gz,../fastq/132_C7JRYANXX_ATTCCT_L007_R2.fastq.gz
132,../fastq/132_C80GMANXX_ATTCCT_L007_R1.fastq.gz,../fastq/132_C80GMANXX_ATTCCT_L007_R2.fastq.gz
133,../fastq/133_C7JRYANXX_ATCACG_L007_R1.fastq.gz,../fastq/133_C7JRYANXX_ATCACG_L007_R2.fastq.gz
133,../fastq/133_C80GMANXX_ATCACG_L007_R1.fastq.gz,../fastq/133_C80GMANXX_ATCACG_L007_R2.fastq.gz
137,../fastq/137_C7JRYANXX_CGATGT_L007_R1.fastq.gz,../fastq/137_C7JRYANXX_CGATGT_L007_R2.fastq.gz
137,../fastq/137_C80GMANXX_CGATGT_L007_R1.fastq.gz,../fastq/137_C80GMANXX_CGATGT_L007_R2.fastq.gz
138,../fastq/138_C7JRYANXX_TTAGGC_L007_R1.fastq.gz,../fastq/138_C7JRYANXX_TTAGGC_L007_R2.fastq.gz
138,../fastq/138_C80GMANXX_TTAGGC_L007_R1.fastq.gz,../fastq/138_C80GMANXX_TTAGGC_L007_R2.fastq.gz
146,../fastq/146_C7JRYANXX_TGACCA_L007_R1.fastq.gz,../fastq/146_C7JRYANXX_TGACCA_L007_R2.fastq.gz
146,../fastq/146_C80GMANXX_TGACCA_L007_R1.fastq.gz,../fastq/146_C80GMANXX_TGACCA_L007_R2.fastq.gz
147,../fastq/147_C7JRYANXX_ACAGTG_L007_R1.fastq.gz,../fastq/147_C7JRYANXX_ACAGTG_L007_R2.fastq.gz
147,../fastq/147_C80GMANXX_ACAGTG_L007_R1.fastq.gz,../fastq/147_C80GMANXX_ACAGTG_L007_R2.fastq.gz
148,../fastq/148_C7JRYANXX_GCCAAT_L007_R1.fastq.gz,../fastq/148_C7JRYANXX_GCCAAT_L007_R2.fastq.gz
148,../fastq/148_C80GMANXX_GCCAAT_L007_R1.fastq.gz,../fastq/148_C80GMANXX_GCCAAT_L007_R2.fastq.gz
149,../fastq/149_C7JRYANXX_CAGATC_L007_R1.fastq.gz,../fastq/149_C7JRYANXX_CAGATC_L007_R2.fastq.gz
149,../fastq/149_C80GMANXX_CAGATC_L007_R1.fastq.gz,../fastq/149_C80GMANXX_CAGATC_L007_R2.fastq.gz
152,../fastq/152_C7JRYANXX_ACTTGA_L007_R1.fastq.gz,../fastq/152_C7JRYANXX_ACTTGA_L007_R2.fastq.gz
152,../fastq/152_C80GMANXX_ACTTGA_L007_R1.fastq.gz,../fastq/152_C80GMANXX_ACTTGA_L007_R2.fastq.gz
153,../fastq/153_C7JRYANXX_GATCAG_L007_R1.fastq.gz,../fastq/153_C7JRYANXX_GATCAG_L007_R2.fastq.gz
153,../fastq/153_C80GMANXX_GATCAG_L007_R1.fastq.gz,../fastq/153_C80GMANXX_GATCAG_L007_R2.fastq.gz
154,../fastq/154_C7JRYANXX_TAGCTT_L008_R1.fastq.gz,../fastq/154_C7JRYANXX_TAGCTT_L008_R2.fastq.gz
154,../fastq/154_C80GMANXX_TAGCTT_L007_R1.fastq.gz,../fastq/154_C80GMANXX_TAGCTT_L007_R2.fastq.gz
155,../fastq/155_C7JRYANXX_GGCTAC_L008_R1.fastq.gz,../fastq/155_C7JRYANXX_GGCTAC_L008_R2.fastq.gz
155,../fastq/155_C80GMANXX_GGCTAC_L008_R1.fastq.gz,../fastq/155_C80GMANXX_GGCTAC_L008_R2.fastq.gz
156,../fastq/156_C7JRYANXX_CTTGTA_L008_R1.fastq.gz,../fastq/156_C7JRYANXX_CTTGTA_L008_R2.fastq.gz
156,../fastq/156_C80GMANXX_CTTGTA_L008_R1.fastq.gz,../fastq/156_C80GMANXX_CTTGTA_L008_R2.fastq.gz
157,../fastq/157_C7JRYANXX_AGTCAA_L008_R1.fastq.gz,../fastq/157_C7JRYANXX_AGTCAA_L008_R2.fastq.gz
157,../fastq/157_C80GMANXX_AGTCAA_L008_R1.fastq.gz,../fastq/157_C80GMANXX_AGTCAA_L008_R2.fastq.gz
170,../fastq/170_C7JRYANXX_CCGTCC_L003_R1.fastq.gz,../fastq/170_C7JRYANXX_CCGTCC_L003_R2.fastq.gz
170,../fastq/170_C80GMANXX_CCGTCC_L003_R1.fastq.gz,../fastq/170_C80GMANXX_CCGTCC_L003_R2.fastq.gz
171,../fastq/171_C7JRYANXX_GTCCGC_L003_R1.fastq.gz,../fastq/171_C7JRYANXX_GTCCGC_L003_R2.fastq.gz
171,../fastq/171_C80GMANXX_GTCCGC_L003_R1.fastq.gz,../fastq/171_C80GMANXX_GTCCGC_L003_R2.fastq.gz
172,../fastq/172_C7JRYANXX_GTGAAA_L003_R1.fastq.gz,../fastq/172_C7JRYANXX_GTGAAA_L003_R2.fastq.gz
172,../fastq/172_C80GMANXX_GTGAAA_L003_R1.fastq.gz,../fastq/172_C80GMANXX_GTGAAA_L003_R2.fastq.gz
173,../fastq/173_C7JRYANXX_GTGGCC_L003_R1.fastq.gz,../fastq/173_C7JRYANXX_GTGGCC_L003_R2.fastq.gz
173,../fastq/173_C80GMANXX_GTGGCC_L003_R1.fastq.gz,../fastq/173_C80GMANXX_GTGGCC_L003_R2.fastq.gz
174,../fastq/174_C7JRYANXX_GTTTCG_L003_R1.fastq.gz,../fastq/174_C7JRYANXX_GTTTCG_L003_R2.fastq.gz
174,../fastq/174_C80GMANXX_GTTTCG_L003_R1.fastq.gz,../fastq/174_C80GMANXX_GTTTCG_L003_R2.fastq.gz
175,../fastq/175_C7JRYANXX_CGTACG_L003_R1.fastq.gz,../fastq/175_C7JRYANXX_CGTACG_L003_R2.fastq.gz
175,../fastq/175_C80GMANXX_CGTACG_L003_R1.fastq.gz,../fastq/175_C80GMANXX_CGTACG_L003_R2.fastq.gz
182,../fastq/182_C7JRYANXX_GAGTGG_L003_R1.fastq.gz,../fastq/182_C7JRYANXX_GAGTGG_L003_R2.fastq.gz
182,../fastq/182_C80GMANXX_GAGTGG_L003_R1.fastq.gz,../fastq/182_C80GMANXX_GAGTGG_L003_R2.fastq.gz
183,../fastq/183_C7JRYANXX_ACTGAT_L003_R1.fastq.gz,../fastq/183_C7JRYANXX_ACTGAT_L003_R2.fastq.gz
183,../fastq/183_C80GMANXX_ACTGAT_L003_R1.fastq.gz,../fastq/183_C80GMANXX_ACTGAT_L003_R2.fastq.gz
184,../fastq/184_C7JRYANXX_ATTCCT_L003_R1.fastq.gz,../fastq/184_C7JRYANXX_ATTCCT_L003_R2.fastq.gz
184,../fastq/184_C80GMANXX_ATTCCT_L003_R1.fastq.gz,../fastq/184_C80GMANXX_ATTCCT_L003_R2.fastq.gz
185,../fastq/185_C7JRYANXX_ATCACG_L003_R1.fastq.gz,../fastq/185_C7JRYANXX_ATCACG_L003_R2.fastq.gz
185,../fastq/185_C80GMANXX_ATCACG_L003_R1.fastq.gz,../fastq/185_C80GMANXX_ATCACG_L003_R2.fastq.gz
186,../fastq/186_C7JRYANXX_CGATGT_L003_R1.fastq.gz,../fastq/186_C7JRYANXX_CGATGT_L003_R2.fastq.gz
